web_scraper_order,web_scraper_start_url,pagination-selector,Name,Name2,Name3,Name4,Price,Score,Prev race pts.
1763925487-265,https://fantasy.skiclassics.com/athletes,,Valter Blomberg,The Youth Team,,Youth,$232,0 p.,-
1763925487-266,https://fantasy.skiclassics.com/athletes,,Nathan Jouannon,Team Nordic Expérience/Coste - Fromagerie Marcel Petite,,Youth,$1 253,0 p.,-
1763925487-267,https://fantasy.skiclassics.com/athletes,,Karen Amalie Nordseth,Team Sjusjøen Langløp,,Youth,$4 018,0 p.,-
1763925487-268,https://fantasy.skiclassics.com/athletes,,Julia Angelsiöö,Ski Team Göhlins,https://skiclassics.com/wp-content/uploads/2023/03/ski-team-Gohlins-race-suit.svg,,$4 060,0 p.,-
1763925487-269,https://fantasy.skiclassics.com/athletes,,Maja Majbäck,The Youth Team,,,$1 063,0 p.,-
1763925487-270,https://fantasy.skiclassics.com/athletes,,Maren Åberg,Team Sport 1 Lillehammer,,Youth,$2 861,0 p.,-
1763925487-271,https://fantasy.skiclassics.com/athletes,,Sandra Schützová,Team Kaffebryggeriet DRIV,https://skiclassics.com/wp-content/uploads/2023/03/Team-Kaffebryggeriet-Driv-race-suit.png,QCI,$10 347,0 p.,-
1763925487-272,https://fantasy.skiclassics.com/athletes,,Oda Nerdrum,Team Slavia Pojišťovna Robinson Trentino,https://skiclassics.com/wp-content/uploads/2023/03/vsc-race-suit-template-TEAM-ROBINSON-TRENTINO.png,,$4 229,0 p.,-
1763925487-273,https://fantasy.skiclassics.com/athletes,,Anja Stolpe,The Youth Team,,Youth,$7 227,0 p.,-
1763925487-274,https://fantasy.skiclassics.com/athletes,,Emma Ivarsson,Team Futura GTE Trentino,https://skiclassics.com/wp-content/uploads/2023/03/Team-Futura-Trentino-Gte-elettrica.svg,,$2 802,0 p.,-
1763925487-275,https://fantasy.skiclassics.com/athletes,,Nicole Tröger,Cibes Lift Ski-Willy Marathon Team,https://skiclassics.com/wp-content/uploads/2023/03/RaceSuit_SkiWillyMarathonTeamAUT.svg,QCI,$2 044,0 p.,-
1763925487-276,https://fantasy.skiclassics.com/athletes,,Madelene Nord,Bruse Sauerland Ski Team,https://skiclassics.com/wp-content/uploads/2023/03/BRUSE-Sauerland-Ski-Team-Race-Suit-2025.png,,$1 619,0 p.,-
1763925487-277,https://fantasy.skiclassics.com/athletes,,Isac Holmström,Team Edux,https://skiclassics.com/wp-content/uploads/2023/03/Team-Edux-race-suit-1.svg,QCI,$2 642,0 p.,-
1763925487-278,https://fantasy.skiclassics.com/athletes,,Adrian Bosshart,Team Emtec Nordic,,QCI,$228,0 p.,-
1763925487-279,https://fantasy.skiclassics.com/athletes,,Bruno Dettmann,The Youth Team,,Youth,$2 885,0 p.,-
1763925487-280,https://fantasy.skiclassics.com/athletes,,Klas Nilsson,Team Futura GTE Trentino,https://skiclassics.com/wp-content/uploads/2023/03/Team-Futura-Trentino-Gte-elettrica.svg,,$2 773,0 p.,-
1763925487-281,https://fantasy.skiclassics.com/athletes,,Jeremy Royer,Team Eksjöhus,https://skiclassics.com/wp-content/uploads/2024/11/Team-Eksjohus_VSC_template_2024-e1731396346500.png,QCI,$15 920,0 p.,-
1763925487-282,https://fantasy.skiclassics.com/athletes,,Tobias Dargatz,Danish Skimarathon Team,https://skiclassics.com/wp-content/uploads/2023/03/Danish-Skimarathon-Team-Race-Suit-1.svg,QCI,$215,0 p.,-
1763925487-283,https://fantasy.skiclassics.com/athletes,,Orjan Walseth,Team Synnfjell,https://skiclassics.com/wp-content/uploads/2023/03/Team-Synnfjell-race-suit-template.png,,$222,0 p.,-
1763925487-284,https://fantasy.skiclassics.com/athletes,,Lassi Juhanoja,Bruse Sauerland Ski Team,https://skiclassics.com/wp-content/uploads/2023/03/BRUSE-Sauerland-Ski-Team-Race-Suit-2025.png,QCI,$471,0 p.,-
1763925487-285,https://fantasy.skiclassics.com/athletes,,Cristian Bertagnolli,Team Slavia Pojišťovna Robinson Trentino,https://skiclassics.com/wp-content/uploads/2023/03/vsc-race-suit-template-TEAM-ROBINSON-TRENTINO.png,Youth,$227,0 p.,-
1763925487-286,https://fantasy.skiclassics.com/athletes,,Lauri Mannila,Team Edux,https://skiclassics.com/wp-content/uploads/2023/03/Team-Edux-race-suit-1.svg,QCI,$353,0 p.,-
1763925487-287,https://fantasy.skiclassics.com/athletes,,Anne Kjersti Kalvaa,Team Aker Dæhlie,https://skiclassics.com/wp-content/uploads/2023/03/VSC-Race-Suit-Template-Team-Aker-Daehlie-2024.svg,,$289,0 p.,-
1763925487-288,https://fantasy.skiclassics.com/athletes,,Sophia Laukli,Team Aker Dæhlie,https://skiclassics.com/wp-content/uploads/2023/03/VSC-Race-Suit-Template-Team-Aker-Daehlie-2024.svg,Youth,$267,0 p.,-
1763925487-289,https://fantasy.skiclassics.com/athletes,,Anna Aukland,Team Ragde Charge,https://skiclassics.com/wp-content/uploads/2023/03/Aukland-Coaching-AS_2024.svg,Youth,$300,0 p.,-
1763925487-290,https://fantasy.skiclassics.com/athletes,,Eliška Šibravová,eD system RSJ Team,,Youth,$293,0 p.,-
1763925487-291,https://fantasy.skiclassics.com/athletes,,Helene Ekrheim Haugen,Team Kaffebryggeriet DRIV,https://skiclassics.com/wp-content/uploads/2023/03/Team-Kaffebryggeriet-Driv-race-suit.png,Youth,$263,0 p.,-
